Yr,Mn,Date,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled[ppm]
1969,1,25218,1969.0411,331.44,329.61,329,327.16,331.44,329.61
1969,2,25249,1969.126,326.52,324.31,329.29,327.08,326.52,324.31
1969,3,25277,1969.2027,-99.99,-99.99,329.61,327,329.61,327
1969,4,25308,1969.2877,327.92,324.6,330.26,326.94,327.92,324.6
1969,5,25338,1969.3699,-99.99,-99.99,330.29,326.89,330.29,326.89
1969,6,25369,1969.4548,326.33,324.86,328.27,326.85,326.33,324.86
1969,7,25399,1969.537,-99.99,-99.99,324.28,326.82,324.28,326.82
1969,8,25430,1969.6219,-99.99,-99.99,321.08,326.81,321.08,326.81
1969,9,25461,1969.7068,-99.99,-99.99,321.76,326.81,321.76,326.81
1969,10,25491,1969.789,325.62,327.91,324.57,326.81,325.62,327.91
1969,11,25522,1969.874,-99.99,-99.99,326.71,326.82,326.71,326.82
1969,12,25552,1969.9562,-99.99,-99.99,327.87,326.83,327.87,326.83
1970,1,25583,1970.0411,-99.99,-99.99,328.69,326.84,328.69,326.84
1970,2,25614,1970.126,-99.99,-99.99,329.09,326.86,329.09,326.86
1970,3,25642,1970.2027,-99.99,-99.99,329.51,326.88,329.51,326.88
1970,4,25673,1970.2877,329.14,325.8,330.26,326.91,329.14,325.8
1970,5,25703,1970.3699,331.66,328.22,330.38,326.94,331.66,328.22
1970,6,25734,1970.4548,328.18,326.69,328.42,326.98,328.18,326.69
1970,7,25764,1970.537,-99.99,-99.99,324.46,327.02,324.46,327.02
1970,8,25795,1970.6219,-99.99,-99.99,321.3,327.07,321.3,327.07
1970,9,25826,1970.7068,322.35,327.47,322.03,327.12,322.35,327.47
1970,10,25856,1970.789,-99.99,-99.99,324.91,327.17,324.91,327.17
1970,11,25887,1970.874,-99.99,-99.99,327.11,327.22,327.11,327.22
1970,12,25917,1970.9562,327.29,326.25,328.33,327.28,327.29,326.25
1971,1,25948,1971.0411,-99.99,-99.99,329.21,327.34,329.21,327.34
1971,2,25979,1971.126,329.72,327.48,329.66,327.41,329.72,327.48
1971,3,26007,1971.2027,330.23,327.6,330.12,327.47,330.23,327.6
1971,4,26038,1971.2877,330.42,327.05,330.91,327.54,330.42,327.05
1971,5,26068,1971.3699,330.64,327.17,331.07,327.61,330.64,327.17
1971,6,26099,1971.4548,329.95,328.45,329.13,327.68,329.95,328.45
1971,7,26129,1971.537,324.42,326.93,325.17,327.75,324.42,326.93
1971,8,26160,1971.6219,-99.99,-99.99,322.02,327.83,322.02,327.83
1971,9,26191,1971.7068,-99.99,-99.99,322.79,327.91,322.79,327.91
1971,10,26221,1971.789,-99.99,-99.99,325.7,327.98,325.7,327.98
1971,11,26252,1971.874,-99.99,-99.99,327.94,328.05,327.94,328.05
1971,12,26282,1971.9562,-99.99,-99.99,329.19,328.13,329.19,328.13
1972,1,26313,1972.041,-99.99,-99.99,330.08,328.2,330.08,328.2
1972,2,26344,1972.1257,-99.99,-99.99,330.53,328.27,330.53,328.27
1972,3,26373,1972.2049,333.76,331.08,331.02,328.33,333.76,331.08
1972,4,26404,1972.2896,330.92,327.51,331.82,328.4,330.92,327.51
1972,5,26434,1972.3716,332.23,328.75,331.93,328.46,332.23,328.75
1972,6,26465,1972.4563,-99.99,-99.99,329.92,328.53,329.92,328.53
1972,7,26495,1972.5383,326.6,329.19,325.93,328.59,326.6,329.19
1972,8,26526,1972.623,-99.99,-99.99,322.79,328.66,322.79,328.66
1972,9,26557,1972.7077,322.69,327.86,323.61,328.74,322.69,327.86
1972,10,26587,1972.7896,326.04,328.36,326.55,328.83,326.04,328.36
1972,11,26618,1972.8743,328.37,328.5,328.82,328.92,328.37,328.5
1972,12,26648,1972.9563,330.31,329.26,330.1,329.03,330.31,329.26
1973,1,26679,1973.0411,330.32,328.43,331.04,329.15,330.32,328.43
1973,2,26710,1973.126,331.37,329.1,331.56,329.29,331.37,329.1
1973,3,26738,1973.2027,332.08,329.4,332.1,329.42,332.08,329.4
1973,4,26769,1973.2877,333.74,330.32,332.99,329.57,333.74,330.32
1973,5,26799,1973.3699,-99.99,-99.99,333.22,329.72,333.22,329.72
1973,6,26830,1973.4548,-99.99,-99.99,331.34,329.88,331.34,329.88
1973,7,26860,1973.537,328.61,331.16,327.42,330.04,328.61,331.16
1973,8,26891,1973.6219,322.2,328.08,324.31,330.21,322.2,328.08
1973,9,26922,1973.7068,-99.99,-99.99,325.19,330.38,325.19,330.38
1973,10,26952,1973.789,328.76,331.12,328.24,330.55,328.76,331.12
1973,11,26983,1973.874,-99.99,-99.99,330.61,330.72,330.61,330.72
1973,12,27013,1973.9562,-99.99,-99.99,331.96,330.89,331.96,330.89
1974,1,27044,1974.0411,-99.99,-99.99,332.97,331.06,332.97,331.06
1974,2,27075,1974.126,333.69,331.41,333.52,331.23,333.69,331.41
1974,3,27103,1974.2027,333.6,330.9,334.08,331.37,333.6,330.9
1974,4,27134,1974.2877,335.69,332.25,334.98,331.53,335.69,332.25
1974,5,27164,1974.3699,-99.99,-99.99,335.2,331.67,335.2,331.67
1974,6,27195,1974.4548,-99.99,-99.99,333.28,331.81,333.28,331.81
1974,7,27225,1974.537,-99.99,-99.99,329.29,331.93,329.29,331.93
