Year,Mean Temp (C)
1969,16.178833333333333
1970,16.360666666666667
1971,15.576999999999998
1972,16.182
1973,15.513083333333334
1974,15.96716666666667
1975,15.160000000000002
1976,16.52716666666667
1977,16.356083333333334
1978,16.4555
1979,16.294166666666666
1980,16.623166666666666
1981,17.008666666666667
1982,15.954500000000001
1983,16.795416666666668
1984,17.03075
1985,16.129166666666666
1986,16.590666666666667
1987,16.19333333333333
1988,16.465083333333336
1989,16.50125
1990,16.685333333333332
1991,16.127333333333333
1992,17.332666666666668
1993,16.85625
1994,16.44783333333333
1995,16.85108333333333
1996,17.199333333333332
1997,17.459250000000004
1998,16.21175
1999,16.177000000000003
2000,16.900083333333335
2001,16.37416666666667
2002,16.37275
2003,17.10016666666667
2004,16.840666666666667
2005,16.9275
2006,17.231583333333333
2007,16.80275
2008,17.211083333333335
2009,16.416666666666668
2010,15.416666666666666
2011,15.583333333333334
2012,16.666666666666668
2013,16.416666666666668
2014,18.0
2015,18.25
2016,17.416666666666668
2017,17.583333333333332
2018,17.666666666666668
2019,19.083333333333332
