loc_id,year,month,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,rainMM,rainInches,rain_days,snow_cm,snow_days,maxwindspeedMiles,maxwindspeedKmph,avgwindspeedMiles,avgwindspeedKmph,avgwindgustMiles,avgwindgustKmph,visibilityKm,visibilityMiles,humidity,pressureMB,pressureInches,cloudcover,sun_hour,sun_days,uvindex
1,2009,1,18,64,12,54,15,58,4.35,0.17,4,0.0,0,6.1,9.8,6.1,9.8,10.5,17.0,10,6,57,1019.8,30.6,13,221.5,26,5
1,2009,2,16,60,11,51,13,55,19.53,0.77,5,0.0,0,7.1,11.4,7.1,11.4,11.0,17.8,10,6,67,1018.2,30.5,22,196.5,22,5
1,2009,3,17,63,10,50,13,56,0.31,0.01,0,0.0,0,6.2,10.0,6.2,10.0,8.9,14.4,10,6,68,1016.0,30.5,11,301.0,30,4
1,2009,4,18,64,11,52,14,57,1.21,0.05,1,0.0,0,6.9,11.1,6.9,11.1,9.6,15.5,10,6,68,1015.1,30.5,11,367.5,26,4
1,2009,5,20,68,12,54,16,60,0.19,0.01,0,0.0,0,5.4,8.7,5.4,8.7,7.3,11.7,10,6,73,1012.6,30.4,5,386.0,30,5
1,2009,6,20,68,14,57,17,62,1.31,0.05,2,0.0,0,6.3,10.1,6.3,10.1,8.1,13.1,10,6,75,1012.0,30.4,14,367.5,26,5
1,2009,7,24,76,17,62,20,69,1.52,0.06,0,0.0,0,5.6,8.9,5.6,8.9,7.7,12.4,10,6,67,1012.8,30.4,5,387.5,23,5
1,2009,8,25,77,17,63,21,69,2.73,0.11,2,0.0,0,6.1,9.8,6.1,9.8,9.1,14.7,10,6,67,1012.9,30.4,5,386.0,29,6
1,2009,9,25,78,18,64,21,70,0.34,0.01,0,0.0,0,5.4,8.7,5.4,8.7,8.0,12.9,10,6,67,1012.2,30.4,4,325.0,29,5
1,2009,10,22,71,15,59,18,64,0.17,0.01,0,0.0,0,6.0,9.6,6.0,9.6,8.8,14.2,10,6,65,1012.7,30.4,8,287.0,30,5
1,2009,11,20,68,13,55,16,60,4.32,0.17,2,0.0,0,5.5,8.8,5.5,8.8,8.6,13.9,10,6,62,1015.2,30.5,10,223.5,28,5
1,2009,12,16,60,11,51,13,55,12.18,0.48,3,0.0,0,6.9,11.1,6.9,11.1,10.6,17.1,10,6,66,1017.0,30.5,27,207.0,25,4
1,2010,1,17,63,12,53,14,57,46.36,1.83,6,0.0,0,7.2,11.5,7.2,11.5,11.4,18.4,10,6,65,1015.0,30.5,21,207.0,25,4
1,2010,2,16,61,11,52,13,55,27.85,1.10,8,0.0,0,7.0,11.2,7.0,11.2,10.3,16.5,10,6,73,1014.9,30.4,24,193.5,18,4
1,2010,3,17,63,11,52,14,57,5.57,0.22,6,0.0,0,7.2,11.5,7.2,11.5,10.6,17.1,10,6,65,1016.3,30.5,13,289.0,25,4
1,2010,4,16,62,10,51,13,56,7.99,0.31,7,0.0,0,7.5,12.1,7.5,12.1,10.1,16.3,10,6,71,1014.2,30.4,16,353.5,22,4
1,2010,5,18,64,11,52,14,58,0.37,0.01,1,0.0,0,7.0,11.2,7.0,11.2,9.1,14.7,10,6,73,1013.9,30.4,8,382.0,29,5
1,2010,6,20,68,12,54,16,61,0.10,0.00,0,0.0,0,5.7,9.2,5.7,9.2,7.2,11.5,10,6,72,1012.7,30.4,3,375.0,30,5
