,Year,MSL
0,1924,-0.225
1,1924,-0.195
2,1925,-0.198
3,1925,-0.207
4,1925,-0.15
5,1925,-0.198
6,1925,-0.142
7,1925,-0.126
8,1925,-0.133
9,1925,-0.145
10,1925,-0.158
11,1925,-0.121
12,1925,-0.149
13,1925,-0.049
14,1926,-0.025
15,1926,-0.091
16,1926,-0.07400000000000001
17,1926,-0.095
18,1926,-0.11800000000000001
19,1926,-0.111
20,1926,-0.133
21,1926,-0.139
22,1926,-0.18899999999999997
23,1926,-0.17600000000000002
24,1926,-0.17300000000000001
25,1926,-0.14
26,1927,-0.171
27,1927,-0.16699999999999998
28,1927,-0.172
29,1927,-0.159
30,1927,-0.188
31,1927,-0.138
32,1927,-0.161
33,1927,-0.16
34,1927,-0.149
35,1927,-0.11800000000000001
36,1927,-0.106
37,1927,-0.09699999999999999
38,1928,-0.11599999999999999
39,1928,-0.085
40,1928,-0.153
41,1928,-0.153
42,1928,-0.139
43,1928,-0.129
44,1928,-0.14300000000000002
45,1928,-0.11800000000000001
46,1928,-0.16699999999999998
47,1928,-0.145
48,1928,-0.11199999999999999
49,1928,-0.08800000000000001
50,1929,-0.07
51,1929,-0.115
52,1929,-0.111
53,1929,-0.073
54,1929,-0.09
55,1929,-0.132
56,1929,-0.109
57,1929,-0.142
58,1929,-0.128
59,1929,-0.142
60,1929,-0.14300000000000002
61,1929,-0.16399999999999998
62,1930,-0.125
63,1930,-0.11199999999999999
64,1930,-0.102
65,1930,-0.125
66,1930,-0.163
67,1930,-0.114
68,1930,-0.121
69,1930,-0.096
70,1930,-0.14300000000000002
71,1930,-0.094
72,1930,-0.076
73,1930,-0.08199999999999999
74,1931,-0.098
75,1931,-0.033
76,1931,-0.08900000000000001
77,1931,-0.07
78,1931,-0.124
79,1931,-0.129
80,1931,-0.079
81,1931,-0.11800000000000001
82,1931,-0.122
83,1931,-0.142
84,1931,-0.13699999999999998
85,1931,-0.183
86,1932,-0.165
87,1932,-0.08800000000000001
88,1932,-0.12300000000000001
89,1932,-0.095
90,1932,-0.096
91,1932,-0.157
92,1932,-0.14
93,1932,-0.121
94,1932,-0.134
95,1932,-0.136
96,1932,-0.146
97,1932,-0.16699999999999998
98,1933,-0.131
99,1933,-0.195
100,1933,-0.135
101,1933,-0.14300000000000002
102,1933,-0.209
103,1933,-0.172
104,1933,-0.16699999999999998
105,1933,-0.188
106,1933,-0.18600000000000003
107,1933,-0.212
108,1933,-0.18899999999999997
109,1933,-0.213
110,1934,-0.18
111,1934,-0.192
112,1934,-0.11699999999999999
113,1934,-0.10400000000000001
114,1934,-0.121
115,1934,-0.147
116,1934,-0.13699999999999998
117,1934,-0.17300000000000001
118,1934,-0.128
119,1934,-0.222
120,1934,-0.16699999999999998
121,1934,-0.125
122,1935,-0.171
123,1935,-0.121
124,1935,-0.163
125,1935,-0.13699999999999998
126,1935,-0.163
127,1935,-0.111
128,1935,-0.146
129,1935,-0.133
130,1935,-0.18899999999999997
131,1935,-0.161
132,1935,-0.192
133,1935,-0.146
134,1936,-0.18899999999999997
135,1936,-0.14300000000000002
136,1936,-0.105
137,1936,-0.168
138,1936,-0.13
139,1936,-0.154
140,1936,-0.127
141,1936,-0.124
142,1936,-0.115
143,1936,-0.13
144,1936,-0.09699999999999999
145,1936,-0.131
146,1937,-0.162
147,1937,-0.11199999999999999
148,1937,-0.14400000000000002
149,1937,-0.14300000000000002
150,1937,-0.102
151,1937,-0.129
152,1937,-0.094
153,1937,-0.109
